epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,544.74,1.56946,3.41983,1.70622,0.33953,0.21072,0.13542,0.06502,1.89869,3.38034,2.14312,0.000367779,0.000367779,0.000367779
2,1064.96,1.46743,2.67303,1.62338,0.6087,0.1366,0.14635,0.06025,2.05934,3.33798,2.1481,0.000723498,0.000723498,0.000723498
3,1568.53,1.44837,2.44156,1.57332,0.78545,0.19988,0.20387,0.08987,1.99812,3.01906,2.12852,0.00106455,0.00106455,0.00106455
4,2066.52,1.39552,2.28753,1.53805,0.63174,0.21128,0.19866,0.08773,1.9602,2.90599,2.10233,0.00104501,0.00104501,0.00104501
5,2564.2,1.34137,2.13515,1.49065,0.588,0.22412,0.2158,0.09571,1.8764,2.59119,1.97356,0.00102301,0.00102301,0.00102301
6,3062.52,1.27727,2.03817,1.45349,0.29823,0.32652,0.26608,0.11815,1.94637,2.50478,1.98994,0.00100101,0.00100101,0.00100101
7,3563.86,1.26975,1.92263,1.45035,0.37752,0.33345,0.26761,0.13173,1.8941,2.28324,1.91394,0.000979013,0.000979013,0.000979013
8,4074.67,1.24211,1.83911,1.41769,0.20673,0.35562,0.25222,0.12198,1.84461,2.1811,1.88512,0.000957015,0.000957015,0.000957015
9,4575.99,1.19666,1.78905,1.40233,0.31388,0.3407,0.29372,0.13003,1.88072,2.17961,1.92133,0.000935018,0.000935018,0.000935018
10,5081.51,1.18249,1.71483,1.3743,0.55173,0.33465,0.3077,0.13282,1.99816,2.17268,2.01576,0.00091302,0.00091302,0.00091302
11,5607.07,1.16721,1.64986,1.37374,0.28995,0.45476,0.36008,0.16927,1.81505,2.0423,1.8794,0.000891022,0.000891022,0.000891022
12,6124.03,1.13168,1.61795,1.34894,0.43184,0.40704,0.36669,0.17081,1.82907,2.03417,1.84707,0.000869024,0.000869024,0.000869024
13,6610.02,1.11069,1.55,1.33163,0.41707,0.43244,0.4002,0.21076,1.82953,2.01049,1.85088,0.000847026,0.000847026,0.000847026
14,7088.56,1.08751,1.51735,1.3274,0.35802,0.41338,0.35233,0.16952,1.76804,1.93061,1.78321,0.000825029,0.000825029,0.000825029
15,7570.65,1.05239,1.42699,1.29162,0.49873,0.44463,0.40445,0.19566,1.85269,1.88621,1.83213,0.000803031,0.000803031,0.000803031
16,8041.06,1.08027,1.44745,1.31508,0.47984,0.3776,0.41301,0.20933,1.7959,1.85947,1.7956,0.000781033,0.000781033,0.000781033
17,8511.05,1.04863,1.40018,1.28418,0.59477,0.40819,0.44025,0.21327,1.75169,2.0388,1.72443,0.000759035,0.000759035,0.000759035
18,8983.27,1.04214,1.37737,1.28237,0.40634,0.45888,0.41503,0.20778,1.78209,1.89286,1.79325,0.000737037,0.000737037,0.000737037
19,9459.98,1.00282,1.32509,1.26572,0.42849,0.33861,0.36501,0.18735,1.77665,1.92243,1.8408,0.00071504,0.00071504,0.00071504
20,9935,0.97634,1.27762,1.24249,0.47392,0.44718,0.42411,0.20933,1.77695,1.91159,1.7793,0.000693042,0.000693042,0.000693042
21,10412.9,0.9631,1.28319,1.24243,0.36919,0.42175,0.37572,0.18928,1.80472,1.93697,1.83684,0.000671044,0.000671044,0.000671044
22,10923.9,0.97888,1.24298,1.24801,0.49974,0.38646,0.3922,0.18434,1.84047,1.94698,1.8354,0.000649046,0.000649046,0.000649046
23,11406.9,0.956,1.20724,1.23274,0.51944,0.34063,0.37581,0.18705,1.77842,1.83493,1.76057,0.000627048,0.000627048,0.000627048
24,11883.3,0.92843,1.15175,1.21297,0.44108,0.47435,0.41071,0.18925,1.83734,1.89454,1.84794,0.000605051,0.000605051,0.000605051
25,12358.1,0.92877,1.14381,1.20421,0.49474,0.46567,0.41586,0.1999,1.78203,1.8016,1.77738,0.000583053,0.000583053,0.000583053
26,12847.9,0.89886,1.10156,1.1841,0.49599,0.40829,0.45019,0.22165,1.83956,1.74504,1.80231,0.000561055,0.000561055,0.000561055
27,13331.2,0.91178,1.0943,1.19608,0.52812,0.44602,0.46286,0.22135,1.84077,1.80877,1.8375,0.000539057,0.000539057,0.000539057
28,13804.6,0.87858,1.0402,1.17764,0.45315,0.43971,0.43895,0.2151,1.85554,1.75784,1.81906,0.000517059,0.000517059,0.000517059
29,14289.6,0.89616,1.0632,1.20123,0.54311,0.40616,0.45629,0.21607,1.79967,1.77598,1.81209,0.000495062,0.000495062,0.000495062
30,14762.8,0.87634,1.01618,1.16871,0.41977,0.48675,0.40546,0.19182,1.84043,1.74891,1.82349,0.000473064,0.000473064,0.000473064
31,15232.9,0.87013,1.02255,1.17443,0.71967,0.35959,0.4359,0.21875,1.7402,1.71966,1.72704,0.000451066,0.000451066,0.000451066
32,15704.3,0.86205,1.00409,1.17401,0.50783,0.4306,0.4107,0.20227,1.82075,1.86632,1.79793,0.000429068,0.000429068,0.000429068
33,16177,0.85995,1.00349,1.17097,0.44534,0.4475,0.43735,0.20079,1.80768,1.79603,1.80505,0.00040707,0.00040707,0.00040707
34,16648.4,0.83909,0.94975,1.15443,0.58192,0.45471,0.44869,0.22823,1.74656,1.70947,1.74076,0.000385073,0.000385073,0.000385073
35,17120.3,0.8326,0.93208,1.15561,0.59915,0.45996,0.44369,0.21999,1.79702,1.73557,1.79499,0.000363075,0.000363075,0.000363075
36,17590.5,0.81658,0.92438,1.14068,0.38805,0.52057,0.4305,0.20471,1.81819,1.78613,1.82015,0.000341077,0.000341077,0.000341077
37,18067.5,0.81015,0.89626,1.13504,0.54202,0.42702,0.45196,0.21967,1.83632,1.80086,1.84692,0.000319079,0.000319079,0.000319079
38,18537.5,0.79854,0.87767,1.13852,0.46639,0.49047,0.44876,0.2291,1.78038,1.76781,1.78737,0.000297081,0.000297081,0.000297081
39,19008.7,0.77663,0.84317,1.12386,0.54773,0.42323,0.45533,0.23014,1.79437,1.80566,1.78607,0.000275084,0.000275084,0.000275084
40,19479,0.76122,0.836,1.10196,0.56308,0.40254,0.44955,0.21341,1.84177,1.77447,1.86051,0.000253086,0.000253086,0.000253086
41,19968.3,0.72485,0.69416,1.08601,0.54246,0.43167,0.43949,0.19957,1.81065,1.76554,1.85166,0.000231088,0.000231088,0.000231088
42,20463.1,0.6837,0.63036,1.06324,0.63266,0.41084,0.46151,0.21239,1.83688,1.77943,1.8402,0.00020909,0.00020909,0.00020909
43,20938.3,0.68424,0.60115,1.05616,0.57972,0.44249,0.47778,0.22313,1.82595,1.82034,1.83811,0.000187092,0.000187092,0.000187092
44,21406.4,0.66235,0.55817,1.04299,0.64939,0.49295,0.5064,0.21853,1.84774,1.77815,1.85528,0.000165095,0.000165095,0.000165095
45,21883,0.64642,0.54388,1.03477,0.51505,0.54468,0.49521,0.21879,1.86285,1.80163,1.87169,0.000143097,0.000143097,0.000143097
46,22360.1,0.62653,0.5349,1.01878,0.57481,0.52102,0.50889,0.23469,1.81549,1.8045,1.8435,0.000121099,0.000121099,0.000121099
47,22834.6,0.63533,0.53415,1.03452,0.6254,0.47728,0.49489,0.21875,1.79319,1.79331,1.82589,9.91012e-05,9.91012e-05,9.91012e-05
48,23301.1,0.60602,0.50251,1.00375,0.56594,0.50882,0.49519,0.21283,1.80585,1.82629,1.8631,7.71034e-05,7.71034e-05,7.71034e-05
49,23768,0.60345,0.48899,1.00766,0.57652,0.52186,0.4977,0.22035,1.81894,1.82619,1.85336,5.51056e-05,5.51056e-05,5.51056e-05
50,24256.2,0.59835,0.48032,1.00832,0.55753,0.52066,0.50037,0.21699,1.82539,1.88481,1.8512,3.31078e-05,3.31078e-05,3.31078e-05
