epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.484,1.56946,3.41983,1.70622,0.33953,0.21072,0.13542,0.06502,1.89869,3.38034,2.14312,0.000367779,0.000367779,0.000367779
2,1117.06,1.46743,2.67303,1.62338,0.6087,0.1366,0.14635,0.06025,2.05934,3.33798,2.1481,0.000723498,0.000723498,0.000723498
3,1620.77,1.44837,2.44156,1.57332,0.78545,0.19988,0.20387,0.08987,1.99812,3.01906,2.12852,0.00106455,0.00106455,0.00106455
4,2098.21,1.39552,2.28753,1.53805,0.63174,0.21128,0.19866,0.08773,1.9602,2.90599,2.10233,0.00104501,0.00104501,0.00104501
5,2586.29,1.34137,2.13515,1.49065,0.588,0.22412,0.2158,0.09571,1.8764,2.59119,1.97356,0.00102301,0.00102301,0.00102301
6,3064.17,1.27727,2.03817,1.45349,0.29823,0.32652,0.26608,0.11815,1.94637,2.50478,1.98994,0.00100101,0.00100101,0.00100101
7,3538.72,1.26975,1.92263,1.45035,0.37752,0.33345,0.26761,0.13173,1.8941,2.28324,1.91394,0.000979013,0.000979013,0.000979013
8,4020.39,1.24211,1.83911,1.41769,0.20673,0.35562,0.25222,0.12198,1.84461,2.1811,1.88512,0.000957015,0.000957015,0.000957015
9,4499.72,1.19666,1.78905,1.40233,0.31388,0.3407,0.29372,0.13003,1.88072,2.17961,1.92133,0.000935018,0.000935018,0.000935018
10,5002.98,1.18249,1.71483,1.3743,0.55173,0.33465,0.3077,0.13282,1.99816,2.17268,2.01576,0.00091302,0.00091302,0.00091302
11,5491.43,1.16721,1.64986,1.37374,0.28995,0.45476,0.36008,0.16927,1.81505,2.0423,1.8794,0.000891022,0.000891022,0.000891022
